Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW359,01/11/2014,7:45,Grab,Water,0.2,Dissolved Oxygen - 00300,10.9,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,7:45,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.49,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,,Grab,Water,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.550,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",4,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,7:45,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,7:45,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",290,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,7:45,Grab,Water,0.2,Temperature - 00011,2.4,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Old Warwick Ave
WW359,01/11/2014,7:45,Grab,Air,,Temperature - 00011,8,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Old Warwick Ave
WW536,01/11/2014,,Grab,Water,0.4,Chloride - 00940,34,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,10:00,Grab,Water,0.4,Dissolved Oxygen - 00300,7.2,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,10:00,Grab,Water,0.4,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,,Grab,Water,0.4,"Nitrate + Nitrite, Dissolved - 00631",0.135,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,,Grab,Water,0.4,"Nitrogen, Ammonia Dissolved as N - 00608",0.290,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,,Grab,Water,0.4,"Phosphorus, Dissolved - 00666",8,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,10:00,Grab,Water,0.4,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,10:00,Grab,Water,0.4,"Solids, Total Dissolved (Electrical Conductivity) - 47004",127,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,10:00,Grab,Water,0.4,Temperature - 00011,1.3,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Spring Green Pond at Warwick Ave.
WW536,01/11/2014,10:00,Grab,Air,,Temperature - 00011,15.4,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Spring Green Pond at Warwick Ave.
WW538,01/11/2014,,Grab,Water,0.2,Chloride - 00940,44,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/11/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.87,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/11/2014,,Grab,Water,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.110,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/11/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",10,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Lakeshore Dr (culvert)
